loss_local,loss_global,reg_speed,reg_sparsity,reg_scale_mean,reg_scale_std,total,lr
0.053659677505493164,0.0652875304222107,0.0006442323792725801,9.783518180483952e-05,0.6795474290847778,0.4088585674762726,0.15099959075450897,0.05152182329598098
0.3627103567123413,0.30213600397109985,0.0006680302321910858,9.896886331262067e-05,0.9341976046562195,0.23672163486480713,0.03186265751719475,0.05152182329598098
0.2569698095321655,0.24569296836853027,0.0007066229009069502,9.875396062852815e-05,0.7324552536010742,0.19085556268692017,0.03813151642680168,0.05152182329598098
0.25941014289855957,0.21725350618362427,0.000802447902970016,9.862657316261902e-05,0.725260317325592,0.18834856152534485,0.059347014874219894,0.05152182329598098
0.22012656927108765,0.20964324474334717,0.0009238692000508308,9.866044274531305e-05,0.6760879158973694,0.1872270703315735,0.058068517595529556,0.05152182329598098
0.1372942328453064,0.19819796085357666,0.0010487133404240012,9.894513641484082e-05,0.5911867618560791,0.19939202070236206,0.05515490472316742,0.05152182329598098
0.12194198369979858,0.17324048280715942,0.0011874502524733543,9.93155554169789e-05,0.5541192889213562,0.20976518094539642,0.04788485914468765,0.05152182329598098
0.12231051921844482,0.15552324056625366,0.0012945003109052777,9.974437125492841e-05,0.5355330109596252,0.21276137232780457,0.04354364052414894,0.05152182329598098
0.1176673173904419,0.15191048383712769,0.0013661165721714497,0.00010020566696766764,0.5180065631866455,0.20636434853076935,0.040598101913928986,0.05152182329598098
0.11173182725906372,0.14623063802719116,0.0014358126791194081,0.00010067840048577636,0.4922124445438385,0.19395087659358978,0.03876260295510292,0.05152182329598098
0.10474991798400879,0.15271276235580444,0.0014739035395905375,0.00010110595030710101,0.48004207015037537,0.18463614583015442,0.03636820986866951,0.05152182329598098
0.09579873085021973,0.13416242599487305,0.0015282781096175313,0.0001013774162856862,0.43865692615509033,0.17055796086788177,0.036508142948150635,0.05152182329598098
0.09119415283203125,0.1414617896080017,0.0015619616024196148,0.0001016377646010369,0.4309081435203552,0.15868322551250458,0.03790535032749176,0.05152182329598098
